OBJECTID,Name,Text_ID,cable_id,length,ReadyForServiceDate,owners,url,Shape__Length
1,Coral Sea Cable System (CSCS),coral-sea-cable-system-cscs,1934,"4,000 km",Q4 2019,Vocus Communications, ,5327712.86846049
2,Interchange Cable Network 2 (ICN2),interchange-cable-network-2-icn2,1795,"1,632 km",Q4 2019,Interchange,http://www.interchange.vu,1711820.85687817
3,GlobeNet Argentina-Brazil Cable,globenet-argentina-brazil-cable,1964,"2,500 km",H1 2020,GlobeNet,http://www.globenet.net,2519578.90076348
4,England Cable,england-cable,1941,722 km,2020,NO-UK COM AS,https://no-uk.com,1209119.42336485
5,St. Pierre and Miquelon Cable,st-pierre-and-miquelon-cable,1967,200 km,May 2018,French Authority of St. Pierre and Miquelon, ,172693.796400484
6,sea2shore,sea2shore,1966,32 km,2016,National Grid, ,40606.0273796278
7,Glo-2,glo-2,1965,850 km,2019,Globacom Limited,http://www.gloworld.com,892934.449700623
8,NordBaltEurope,nordbalteurope,1963,400 km,2016,"Lietuvos Energija,  Svenska Kraftnät", ,706662.273867187
9,NYNJ-1,nynj-1,1961,n.a.,Q4 2018,Cleareon Fiber Networks,http://www.cleareon.com,119507.662234963
10,Southeast Asia - Japan 2 (SJC2),southeast-asia---japan-2-sjc2,1958,"10,500 km",Q4 2020,"China Mobile,  Chunghwa Telecom,  Facebook,  KDDI,  Chuan Wei,  SingTel,  SK Broadband,  VNPT-Vinaphone,  True Corporation", ,11130252.5673496
11,TERRA-Aleutian,terra-aleutian,1942,"1,078 km",Q3 2020,GCI,http://www.alaskaunited.com,1802936.30596037
12,Sakhalin-Kuril Islands Cable,sakhalin-kuril-islands-cable,1943,940 km,Q2 2019,Rostelecom, ,1094152.2886989
13,Meltingpot Indianoceanic Submarine System (METISS),meltingpot-indianoceanic-submarine-system-metiss,1892,"3,500 km",2019,"Telma (Telecom Malagasy),  CEB Fibernet,  Emtel,  Canal+ Telecom,  SFR,  Zeop (incl. Reunicable)", ,3543404.02856648
14,Java Bali Cable System (JBCS),java-bali-cable-system-jbcs,1955,40 km,2013,Triasmitra, ,29682.7765169792
15,Jakarta Surabaya Cable System (JAYABAYA),jakarta-surabaya-cable-system-jayabaya,1956,888 km,Q4 2018,Triasmitra,http://www.triasmitra.com/,845442.825682121
16,Southern Cross NEXT,southern-cross-next,1894,"13,700 km",Q4 2019,"Spark New Zealand,  SingTel Optus,  Verizon", ,16325998.4826892
17,Havfrue/AEC-2,havfrueaec-2,1931,"7,200 km",Q4 2019,"Aqua Comms,  Facebook,  Bulk Infrastructure,  Google", ,11600246.4543946
18,Dumai Medan Cable System (DMCS),dumai-medan-cable-system-dmcs,1957,575 km,Q1 2019,Triasmitra,http://www.triasmitra.com/,542886.307875718
19,Japan-Guam-Australia South (JGA-S),japan-guam-australia-south-jga-s,1959,n.a.,Q4 2019,"RTI Connectivity,  Google,  Australia’s Academic and Research Network (AARNET)", ,6742633.73631216
20,Japan-Guam-Australia North (JGA-N),japan-guam-australia-north-jga-n,1919,n.a.,Q4 2019,RTI Connectivity,http://www.rticable.com,2791061.21960435
21,Tonga Domestic Cable Extension (TCDE),tonga-domestic-cable-extension-tcde,1951,410 km,January 2018,Tonga Cable Limited, ,402575.700153128
22,Paniolo Cable Network,paniolo-cable-network,1948,576 km,2009,n.a., ,432965.268390516
23,Bodo-Rost Cable,bodo-rost-cable,1950,109 km,2016,Telenor, ,277326.447255541
24,Malta-Gozo Cable,malta-gozo-cable,1947,13 km,2019,Government of Malta,https://www.maltaenterprise.com,13888.7689780403
25,Mauritius and Rodrigues Submarine Cable System (MARS),mauritius-and-rodrigues-submarine-cable-system-mars,1935,677 km,2019,Mauritius Telecom, ,703797.459525795
26,Palapa Ring East,palapa-ring-east,1938,"6,300 km",2019,"Indonesian Government,  Moratelindo,  Telekom PT SmartFren", ,4125833.58020861
27,Palapa Ring West,palapa-ring-west,1939,"1,980 km",February 2018,Indonesian Government, ,1128862.82684915
28,Palapa Ring Middle,palapa-ring-middle,1940,"2,100 km",2018,Indonesian Government, ,1657934.37736118
29,Ulysses 2,ulysses-2,1936,n.a.,1997,Verizon, ,325257.838111126
30,NATITUA,natitua,1916,"2,400 km",Q4 2018,OPT French Polynesia, ,2845541.72077631
31,Hong Kong-Americas (HKA),hong-kong-americas-hka,1933,"13,000 km",2020,"Facebook,  Telstra,  Tata Communications,  China Telecom,  China Unicom", ,15256951.4179616
32,Curie,curie,1932,"10,000 km",2019,Google, ,10238731.1731502
33,Venezuela Festoon,venezuela-festoon,1094,"1,200 km",1998,CANTV, ,1248700.02379202
